discus,study,concern,cause,finance,reimburse,session,regard,amount,yet,fest,shift,travel,sorry,reimbursement,trek,prize,common,classroom,money,book,inconvenience,lecture,cancellation,sh,attach,onwards,meet,collect,space,pm,cancel,want,free,talk,meeting,need,soon,prof,time,schedule,approve,discussion,fresher,receive,dorm,apologise,dept,ugs,logistics,Target_Class
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438140224,0,0,0,0,0,0.319213889,0,0,0,0.218952097,0,0.237534553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252554369,0,0.14833733,0,0,0,0,0,0.324220421,0,0,0,0.222386129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312166685,0,0,0,0,0,0,0,0,0,0.233998888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235686212,0,0,0,0,0,0,0,0,0,0.176669434,0,0,0.51513859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,0.180990049,0,0,0,0,0.30718631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429821863,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36270632,0,0.274342723,0,0,0,0,0,0,0,0,0,0,0,0.213701693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606723645,0.253753343,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,0.186187919,0,0,0.442165956,0,0.316008422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221082978,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,0.172988589,0,0,0,0,0.293605791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172988589,0,0,0.132831206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0.159019734,0,0,0,0,0,0,0,0,0,0.386400211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165868933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0.157317503,0,0.203969104,0,0,0,0,0.343550492,0,0,0,0,0,0,0,0,0,0.38226398,0,0,0,0,0,0,0,0,0,0,0,0.220519023,0,0,0,0,0,0,0,0,0,0.180643304,0,0,0,0,0,0,0,0,0,0,13
0.117733083,0,0,0,0,0,0,0,0,0,0.143039128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122804009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729953177,0,0,0,0,0,0,0,13
0.282718862,0,0.183278757,0,0,0,0,0.1543506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147447976,0,0,0,0,0.147447976,0,0,0,0,0,0,0.162319094,0,0,0,0,0,0,0,0,0,0.183278757,13
0,0,0,0.290120701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132736026,0.268347187,0,0.206971098,0,0,0,0,0,0,0,0.347061062,0,0,0,0,0,0,0,0,0.268347187,0,0,0,0,0,0.268347187,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180066959,0,0,0,0,0,0,0,0.301946652,0,0,0.558213739,0,0,0,0.252407959,0,0,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108208968,0.218761802,0.581232948,0,0,0,0,0,0,0,0,0.424396306,0,0,0,0,0,0,0,0,0.218761802,0,0,0,0,0,0.218761802,0,0,0,12
0,0,0,0.285697702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261424831,0.264256134,0,0.203815746,0,0,0,0.212594371,0,0,0,0.170884993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264256134,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250580866,0,0,0,0,0,0,0,0,0,0.187834406,0,0,0.273846893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121566517,0,0.435321068,0,0,0,0,0,0,0,0,0,0.197719224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0.16725389,0,0,0,0,0,0,0,0,0,0,0.16725389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175888528,0.198600362,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210101508,0,0,0,0,0,0,0,0,0,0,0,0.170857519,0,0,0,0,0.212376966,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212717682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215021473,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,0.316327562,0,0,0,0,0,0,0,0,0.434178567,0,0,0.225666982,0,0,0,0,0,0,0,0.189205698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28411201,0,0,0.147668965,0,0,0,0,0,0,0,0.123809914,0.154029271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0.227429079,0,0,0,0,0,0,0,0,0.208106708,0,0,0,0,0,0,0,0,0,0,0.136032654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104824589,0,0,0.163449675,0,0,0,0,0,0,0,0.274081832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0.189807071,0,0,0,0,0,0,0,0,0,0.461210003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217950168,0,0,0,0,0,0,0,0,0,0.492186532,13
0.121314558,0,0.157289692,0,0,0,0,0.397390707,0,0,0,0,0,0,0,0,0,0,0.397390707,0,0,0,0,0,0,0,0,0.126539743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0.167503437,0,0,0,0,0,0,0.182897284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51926639,0,0,0,0.217175618,13
0.14490722,0.40624594,0,0,0,0,0,0.158224437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151148573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0,0,0,0,0,0,0,0,0,0.17352964,0,0,0,0,0.294524092,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17352964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,0,0,0,0.444648668,0,0.476674159,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374466685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0.148825054,0,0,0.181677122,0.141519003,0,0,0,0,0.120096935,0.602683048,0,0,0,0.157466278,0,0,0,0,0,0,0,0,0.141519003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,0.150024651,0,0,0,0,0,0,0,0,0,0.333860795,0,0,0,0,0,0,0,0,0.150024651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0.221371721,0,0,0,0,0,0,0,0,0,0,0,0.210504243,0,0.247278536,0,0,0,0,0,0,0,0,0,0,0,0.201090405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0.256052212,0,0,0,0,0,0,0,0,0,0,0,0.243482215,0,0.143008817,0,0,0,0,0,0,0,0,0,0.214397666,0,0,0,0,0,0.256052212,0,0,0,0,0,0,0,0,0,0,0,0.312573909,0,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131923236,0,0.472407741,0,0,0,0,0,0,0,0.197778251,0,0.214563684,0,0,0,0.236203871,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0.298348923,0,0,0,0,0,0,0,0,0,0,0,0.283702515,0,0.166632135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298348923,0,0,0,0,0,0,0,0,0,0,0,0.364207317,0,11
0,0,0,0,0,0,0.530487043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387343392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0.309899059,0,0,0,0,0,0,0,0,0.507722093,0.22108091,0,0,0,0,0,0,0,0.185360604,0,0,0,0,0,0,0.309899059,0,0,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0.451244508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164741609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0.277744093,0,0,0,0,0,0,0.12707348,0,0.227520555,0.198141669,0,0,0,0,0,0,0,0.332255367,0,0,0,0,0,0,0,0,0.256899441,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0.284357028,0,0,0.347126811,0,0,0,0,0,0.229466791,0,0.347126811,0,0,0,0,0,0,0,0,0.300867641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0,0,0,0,0.247939945,0.219585662,0,0,0,0,0,0,0.247939945,0,0.177198424,0,0,0,0,0.232335457,0,0,0,0,0,0.232335457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247939945,0,0,0,0,0,0.247939945,0,0,14
0,0,0,0,0.301067878,0.266637913,0,0,0,0,0.282119701,0,0,0,0.215168046,0,0,0,0,0.282119701,0,0,0,0,0,0.282119701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301067878,0,0,0,0,0,0.301067878,0,0,14
0,0,0,0,0.245152613,0.217117088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22972355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245152613,0,0,0,0,0,0.245152613,0,0,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259719081,0,0,0,0,0,0,0,0,0,0,0,0.299651555,0.20553409,0,0,0,0,0.519438161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216318796,0,0,0.114187096,0,0,0,0.249578365,0,0,0,0,0,0,0,0,0,0,0.432637592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0,0.304076882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263554676,0,0,0.139121258,0,0,0,0.304076882,0,0,0,0,0,0,0,0,0,0,0.263554676,0.249091674,0,0,0.249091674,0,0,0,0,0,0,0,0,0,0,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156485136,0,0,0,0,0,0,0.254511854,0,0,0.234601254,0,0,0,0,0.296449227,0,0,0,0.280181082,0,0,0,0,0,0,0,0,0,0,13
